Scheme Name	Net Asset Value
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3247
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4757
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7078
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7481
BANDHAN Corporate Bond Fund - Regular Growth	19.6974
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0204
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5766
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2786
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7376
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.7842
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.7371
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4083
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5217
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0516
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.0663
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.5966
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7548
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7079
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.2846
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4510
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5333
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8119
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3600
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.1594
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5178
DSP Corporate Bond Fund - Direct - Growth	16.7144
DSP Corporate Bond Fund - Direct - IDCW	11.8196
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.574
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.457
DSP Corporate Bond Fund - Regular - Growth	16.4092
DSP Corporate Bond Fund - Regular - IDCW	11.7759
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5499
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.7994
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.1524
Franklin India Corporate Debt Fund - Growth	102.3847
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4782
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6743
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9336
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1906
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8667
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6545
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3288
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1778
HDFC Corporate Bond Fund - Growth Option	33.3228
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.089
HDFC Corporate Bond Fund - IDCW Option	20.1726
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.8873
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5893
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4907
HSBC Corporate Bond Fund - Direct Annual IDCW	12.3384
HSBC Corporate Bond Fund - Direct Growth	80.2114
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5448
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1632
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0596
HSBC Corporate Bond Fund - Regular Growth	75.216
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1288
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.84
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.571
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.1980
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2170
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.3804
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
